Sno,Customer_ID,Product_ID,Return_Type,Amount,Difference_days,Rating
211,9236169,X-1203,0,300,2,1.7
212,9236144,HMTG-TT9009,0,531,2,3.3
213,9236093,X-1116SL01,0,411,3,2
214,9236009,C029,0,300,2,1.9
215,9236160,X-2266,1,371,2,3.6
216,9236158,X1158MS-Black,0,319,2,2.5
217,9236018,X-6009,1,0,0,4.8
218,9236125,HM-GG9008,0,293,3,3.6
219,9236149,X-2285,0,300,2,4.2
220,9236198,X-6008,0,576,2,3.7
221,9236065,HM-GB9006,1,199,5,4.2
222,9236032,X3503WWS,0,569,3,2.6
223,9236085,XDD-7075,1,300,9,4
224,9236102,XDD-7044,0,531,2,3.8
225,9236017,X-6055,0,346,2,3.5
226,9236048,XDD-7019,0,319,6,4.5
227,9236143,HMTG-TT9018,0,371,3,4.3
228,9236090,XDD-1028,0,300,3,2.3
229,9236022,X-6006,1,0,0,3.8
230,9236042,HM-GG9501,0,329,3,2.6
231,9236009,C031,1,322,3,2.7
232,9236141,X-2116,1,559,1,2.9
233,9236117,XDD-7036,0,531,4,4.7
234,9236192,HMTS-B9023,0,364,4,2.1
235,9236072,XDD-7031,0,329,4,2.1
236,9236179,X1182MS-Black,0,300,3,4.6
237,9236145,AXE-1143NL01,1,0,0,2.3
238,9236019,X-6019,0,329,1,3.8
239,9236026,XDD-8005,1,300,3,2.6
240,9236073,XB-2231,0,261,3,3.7
241,9236130,HMTS-B9036,0,300,3,1.9
242,9236152,X-2257,0,300,7,2.8
243,9236193,XDD-7081,0,199,2,3.2
244,9236050,XDD-7036,1,336,3,4.7
245,9236192,X-2257,1,628,5,2.8
246,9236196,XDD-7064,0,389,4,2.6
247,9236052,C029,1,402,3,1.9
248,9236003,HM-GG9010,0,300,3,2.5
249,9236044,XDD-1028,0,199,3,2.3
250,9236008,XDD-7043,0,304,3,1.7
251,9236111,X6001,0,531,4,2.7
252,9236157,XDD-7071,0,399,3,3.4
253,9236045,HMTG-G9011,0,314,2,2.6
254,9236038,XDD-7070,0,389,3,2.9
255,9236028,X-2285,0,689,2,4.2
256,9236102,X-1116SL01,0,531,3,2
257,9236003,X-6001,0,520,4,2.8
258,9236024,XDD-7041,0,336,4,1.5
259,9236052,X-2258,0,264,3,1.5
260,9236166,C035,1,299,2,3.6
261,9236147,XDD-7019,1,322,4,4.5
262,9236185,HM-GG9013,0,330,3,2.8
263,9236121,X-6001,1,1258,4,2.8
264,9236046,HM-GS9005,0,289,3,4.7
265,9236149,X-6015,0,531,3,3.2
266,9236072,XB-2231,1,305,3,3.7
267,9236032,XDD-7057,0,319,3,2.1
268,9236167,HMTG-TT9033,0,371,4,2.8
269,9236029,X-2287,0,336,3,2.1
270,9236027,X-3003,0,301,2,2.8
271,9236061,HMTS-B9024,0,239,3,2.8
272,9236116,XDD-7018,0,404,4,4.5
273,9236177,HMTS-B9037,1,689,6,2.6
274,9236131,HM-GG9010,0,519,3,2.5
275,9236166,X-2286,1,331,6,1.9
276,9236027,X1182MS-Black,1,300,3,4.6
277,9236098,XDD-7092,0,319,2,3.5
278,9236147,X-2269,0,286,3,4
279,9236111,HM-GB9006,0,540,2,4.2
280,9236037,XDD-7065,1,381,14,3.8
281,9236057,X-2270,1,0,0,2.7
282,9236165,XDD-7051,1,742,4,2.2
283,9236168,XDD-7041,1,559,3,1.5
284,9236047,X-2270,0,239,3,2.7
285,9236136,XDD-7044,0,261,2,3.8
286,9236059,HMTG-G9014,0,0,0,4.3
287,9236166,X-6006,1,341,3,3.8
288,9236084,XDD-7018,0,300,2,4.5
289,9236089,X-2273,1,338,4,2.2
290,9236133,X1115SM02,0,301,4,4.5
291,9236048,XDD-7018,0,300,5,4.5
292,9236196,X-2270,0,300,4,2.7
